Kirsten Schreiber
Viktor Hauser
Marc Ruf
Lukas Forster
Karin Fuchs
Eugenie Heine
Fred Lemke
Kai-Uwe Körner
Alice Krüger
Selma Maurer
Willibald Buck
Hans Dieter Falk
Bernard Sauer
Gaby Rohde
Christl Jost
Claudio Steinbach
Susan Schulz
Mareike Hildebrandt
Toni Meister
Brigitte Albers
Rosina Weiss
Gunter Rudolph
Sigrid Lenz
Edeltraud Lindemann
Alwin Jost
Wilhelm Peter
Dana Karl
Erna Schäfer
Anke Ehlers
Gerda Glaser
Heinz-Joachim Münch
Anika Winter
Gundula Geißler
Käte Mayer
Bianka Schenk
